INST2_SPRITE db 32, 40
             db 04h, 04h, 08bh, 070h, 070h, 04h, 04h, 04h, 070h, 04h, 04h, 08bh, 08bh, 08bh, 08bh, 04h, 08bh, 08bh, 08bh, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h
             db 08bh, 08bh, 070h, 08bh, 08bh, 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 070h, 08bh, 04h, 04h, 070h, 070h, 08bh, 08bh, 070h, 04h, 04h, 08bh, 04h, 04h, 04h, 08bh, 04h, 04h, 04h, 04h, 04h
             db 070h, 04h, 070h, 01dh, 01dh, 01dh, 08bh, 04h, 04h, 04h, 04h, 04h, 08bh, 08bh, 070h, 070h, 08bh, 08bh, 04h, 08bh, 01dh, 04h, 08bh, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h
             db 08bh, 04h, 04h, 04h, 01dh, 08bh, 070h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 08bh, 01dh, 01dh, 01dh, 04h, 08bh, 08bh, 04h, 08bh, 04h, 04h, 04h, 04h, 04h, 04h
             db 04h, 08bh, 08bh, 01dh, 070h, 070h, 070h, 0d3h, 0d3h, 0d3h, 0d3h, 073h, 070h, 070h, 070h, 08bh, 070h, 04h, 04h, 04h, 01dh, 070h, 08bh, 08bh, 08bh, 070h, 08bh, 070h, 04h, 04h, 04h, 04h
             db 073h, 073h, 0d3h, 01dh, 070h, 073h, 070h, 073h, 070h, 01dh, 073h, 0d3h, 0d3h, 0d3h, 070h, 0d3h, 070h, 073h, 070h, 08bh, 01dh, 04h, 04h, 04h, 070h, 08bh, 08bh, 08bh, 04h, 08bh, 04h, 04h
             db 01dh, 073h, 01dh, 073h, 0d3h, 073h, 073h, 073h, 070h, 01dh, 073h, 0b8h, 0b8h, 0b8h, 073h, 070h, 0d3h, 0d3h, 070h, 073h, 01dh, 08bh, 070h, 04h, 04h, 04h, 070h, 08bh, 08bh, 08bh, 070h, 04h
             db 070h, 01dh, 08bh, 08bh, 08bh, 08bh, 08bh, 070h, 070h, 070h, 08bh, 070h, 070h, 070h, 070h, 070h, 073h, 073h, 070h, 070h, 01dh, 0d3h, 0d3h, 070h, 08bh, 04h, 04h, 08bh, 070h, 070h, 070h, 04h
             db 08bh, 01dh, 08bh, 04h, 08bh, 08bh, 08bh, 08bh, 070h, 08bh, 04h, 08bh, 08bh, 08bh, 08bh, 070h, 08bh, 070h, 073h, 073h, 01dh, 073h, 070h, 070h, 070h, 070h, 08bh, 04h, 04h, 04h, 070h, 04h
             db 08bh, 01dh, 04h, 04h, 04h, 04h, 08bh, 070h, 04h, 04h, 070h, 070h, 08bh, 070h, 070h, 08bh, 08bh, 070h, 070h, 070h, 01dh, 0d3h, 073h, 070h, 0d3h, 0d3h, 070h, 073h, 08bh, 08bh, 04h, 070h
             db 04h, 01dh, 04h, 04h, 08bh, 08bh, 08bh, 08bh, 08bh, 01dh, 04h, 04h, 04h, 08bh, 070h, 070h, 070h, 070h, 070h, 070h, 01dh, 070h, 073h, 073h, 070h, 070h, 073h, 070h, 070h, 08bh, 04h, 04h
             db 01dh, 01dh, 01dh, 08bh, 08bh, 08bh, 070h, 04h, 04h, 01dh, 04h, 04h, 04h, 04h, 08bh, 070h, 08bh, 08bh, 01dh, 01dh, 01dh, 01dh, 01dh, 073h, 070h, 0d3h, 073h, 073h, 08bh, 04h, 08bh, 070h
             db 070h, 04h, 08bh, 08bh, 08bh, 04h, 04h, 070h, 070h, 08bh, 08bh, 04h, 08bh, 070h, 08bh, 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 073h, 0d3h, 070h, 073h, 073h, 073h, 08bh, 04h, 04h, 04h, 070h
             db 08bh, 08bh, 08bh, 070h, 070h, 070h, 070h, 070h, 070h, 070h, 08bh, 08bh, 08bh, 070h, 070h, 08bh, 070h, 070h, 070h, 070h, 0b8h, 070h, 073h, 070h, 070h, 070h, 04h, 04h, 08bh, 04h, 08bh, 04h
             db 08bh, 08bh, 08bh, 08bh, 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 070h, 070h, 08bh, 070h, 070h, 073h, 073h, 070h, 073h, 073h, 070h, 070h, 073h, 08bh, 04h, 04h, 04h, 070h, 08bh, 04h, 04h, 04h
             db 08bh, 08bh, 08bh, 070h, 070h, 070h, 070h, 070h, 070h, 070h, 08bh, 070h, 073h, 0d3h, 0bbh, 070h, 073h, 070h, 070h, 070h, 070h, 04h, 04h, 04h, 04h, 070h, 08bh, 071h, 08bh, 04h, 070h, 04h
             db 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 08bh, 08bh, 070h, 070h, 08bh, 070h, 070h, 0b8h, 0b8h, 073h, 073h, 070h, 070h, 0d3h, 08bh, 04h, 04h, 04h, 070h, 08bh, 08bh, 04h, 04h, 08bh, 04h, 04h
             db 070h, 070h, 070h, 070h, 070h, 070h, 070h, 070h, 070h, 070h, 08bh, 08bh, 070h, 073h, 0b8h, 073h, 073h, 070h, 073h, 070h, 070h, 04h, 04h, 08bh, 08bh, 08bh, 08bh, 071h, 08bh, 070h, 08bh, 08bh
             db 04h, 04h, 04h, 08bh, 08bh, 04h, 070h, 08bh, 08bh, 08bh, 070h, 08bh, 08bh, 070h, 073h, 073h, 073h, 070h, 070h, 073h, 070h, 04h, 04h, 08bh, 08bh, 070h, 04h, 070h, 08bh, 08bh, 04h, 04h
             db 070h, 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 071h, 04h, 070h, 070h, 070h, 070h, 08bh, 08bh, 070h, 070h, 073h, 070h, 073h, 070h, 070h, 08bh, 04h, 04h, 04h, 070h, 070h, 08bh, 08bh, 08bh, 08bh
             db 070h, 070h, 08bh, 070h, 070h, 070h, 08bh, 04h, 04h, 08bh, 04h, 08bh, 070h, 08bh, 070h, 070h, 070h, 08bh, 070h, 070h, 0d3h, 073h, 073h, 073h, 070h, 073h, 08bh, 04h, 04h, 04h, 070h, 08bh
             db 070h, 08bh, 08bh, 08bh, 070h, 070h, 08bh, 08bh, 08bh, 070h, 08bh, 04h, 04h, 08bh, 04h, 070h, 08bh, 08bh, 08bh, 070h, 070h, 070h, 073h, 0d3h, 0bbh, 070h, 073h, 073h, 073h, 070h, 04h, 04h
             db 08bh, 08bh, 070h, 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 08bh, 070h, 070h, 04h, 04h, 04h, 08bh, 08bh, 070h, 08bh, 08bh, 08bh, 070h, 070h, 070h, 073h, 073h, 0b8h, 073h, 0d3h, 070h, 070h, 073h
             db 08bh, 04h, 04h, 04h, 08bh, 08bh, 08bh, 070h, 070h, 08bh, 070h, 08bh, 08bh, 070h, 08bh, 071h, 04h, 04h, 04h, 070h, 08bh, 070h, 08bh, 070h, 08bh, 08bh, 070h, 070h, 0d3h, 0d3h, 070h, 073h
             db 04h, 04h, 04h, 04h, 04h, 08bh, 04h, 04h, 04h, 08bh, 08bh, 08bh, 070h, 070h, 08bh, 070h, 08bh, 04h, 04h, 08bh, 08bh, 08bh, 070h, 08bh, 08bh, 08bh, 070h, 08bh, 070h, 08bh, 070h, 073h
             db 04h, 04h, 04h, 04h, 04h, 04h, 04h, 08bh, 08bh, 04h, 070h, 070h, 070h, 08bh, 08bh, 08bh, 08bh, 08bh, 070h, 070h, 04h, 04h, 04h, 04h, 08bh, 04h, 08bh, 070h, 08bh, 08bh, 08bh, 08bh
